[batch] total=381 already_done=0 to_upload=381 concurrency=8
[batch] 10/381  ok=10 fail=0  elapsed=2s
[batch] 20/381  ok=20 fail=0  elapsed=4s
[batch] 30/381  ok=30 fail=0  elapsed=5s
[batch] 40/381  ok=40 fail=0  elapsed=5s
[batch] 50/381  ok=50 fail=0  elapsed=7s
[batch] 60/381  ok=60 fail=0  elapsed=8s
[batch] 70/381  ok=70 fail=0  elapsed=8s
[batch] 80/381  ok=80 fail=0  elapsed=9s
[batch] 90/381  ok=90 fail=0  elapsed=10s
[batch] 100/381  ok=100 fail=0  elapsed=12s
[batch] 110/381  ok=110 fail=0  elapsed=13s
[batch] 120/381  ok=120 fail=0  elapsed=13s
[batch] 130/381  ok=130 fail=0  elapsed=14s
[batch] 140/381  ok=140 fail=0  elapsed=15s
[batch] 150/381  ok=150 fail=0  elapsed=16s
[batch] 160/381  ok=160 fail=0  elapsed=18s
[batch] 170/381  ok=170 fail=0  elapsed=19s
[batch] 180/381  ok=180 fail=0  elapsed=20s
[batch] 190/381  ok=190 fail=0  elapsed=21s
[batch] 200/381  ok=200 fail=0  elapsed=22s
[batch] 210/381  ok=210 fail=0  elapsed=23s
[batch] 220/381  ok=220 fail=0  elapsed=24s
[batch] 230/381  ok=230 fail=0  elapsed=25s
[batch] 240/381  ok=240 fail=0  elapsed=26s
[batch] 250/381  ok=250 fail=0  elapsed=27s
[batch] 260/381  ok=260 fail=0  elapsed=28s
[batch] 270/381  ok=270 fail=0  elapsed=30s
[batch] 280/381  ok=280 fail=0  elapsed=31s
[batch] 290/381  ok=290 fail=0  elapsed=32s
[batch] 300/381  ok=300 fail=0  elapsed=34s
[batch] 310/381  ok=310 fail=0  elapsed=34s
[batch] 320/381  ok=320 fail=0  elapsed=35s
[batch] 330/381  ok=330 fail=0  elapsed=37s
[batch] 340/381  ok=340 fail=0  elapsed=38s
[batch] 350/381  ok=350 fail=0  elapsed=39s
[batch] 360/381  ok=360 fail=0  elapsed=40s
[batch] 370/381  ok=370 fail=0  elapsed=41s
[batch] 379/381  ok=379 fail=0  elapsed=42s
[batch] 380/381  ok=380 fail=0  elapsed=42s
[batch] DONE ok=381 fail=0
